"ymd","vax","n","point.est","CI.L","CI.U"
2021-01-09,0.0621487011444166,133909,0.0621516171825801,0.0608698359114068,0.0634473036172117
2021-01-16,0.0850250215437547,270568,0.0850171315803945,0.0839681247680393,0.0860711286536401
2021-01-23,0.119209147688476,263056,0.119204625692791,0.117968043210453,0.120443162327835
2021-01-30,0.157122750500433,260586,0.157114047951598,0.155721995497301,0.158506518931375
2021-02-06,0.195131711130836,230334,0.195121285639314,0.193512969412649,0.196747910450999
2021-02-13,0.233836732111074,235069,0.233835695723586,0.232128844760526,0.235545857176267
2021-02-20,0.269963070836643,232676,0.269958458289919,0.268159179229536,0.271760971062859
2021-02-27,0.301487891316695,226223,0.301481693260742,0.299597410914866,0.303369473739032
2021-03-06,0.351535296323892,230772,0.351522827837477,0.349584628727373,0.353482254435434
2021-03-13,0.421505670582432,219852,0.421497246501546,0.419438817329384,0.423547715741385
2021-03-20,0.489387335507611,220871,0.489376070072258,0.487288538632562,0.491464574393411
2021-03-27,0.553981726646807,214263,0.553966466701718,0.551862277651932,0.556065552588924
2021-04-03,0.616122973379705,209531,0.616108977961348,0.614025271635516,0.61819487159288
2021-04-10,0.672038161095628,201151,0.672021966362746,0.66996695562716,0.674074594335448
2021-04-17,0.719783628279962,201703,0.7197784803447,0.71781535999229,0.721728066465481
2021-04-24,0.755324307987473,183552,0.755312647001821,0.753340488259632,0.757281255439752
2021-05-01,0.773336331650235,171943,0.773330217392652,0.771346262071841,0.77528746533781
2021-05-08,0.787167599356469,157160,0.7871580452029,0.785133264563581,0.789171429296152
2021-05-15,0.796228469083493,145159,0.796224590187897,0.79415558890306,0.798291966266888
2021-05-22,0.802040822971158,142001,0.802039979802272,0.799954828125855,0.804098890382109
2021-05-29,0.806813426548854,141273,0.806815154236807,0.80475582697116,0.808865493711673
2021-06-05,0.809951153235865,147772,0.809970712085722,0.808046504032097,0.811951249789119
2021-06-12,0.806262055514349,136088,0.808552312075818,0.807160213537711,0.810027636460118
2021-06-19,0.809926414750086,121887,0.81014190276496,0.808440843716877,0.812210571912151
2021-06-26,0.814504082508511,101443,0.814507974144084,0.812157348869192,0.816876077966103
2021-07-03,0.815892583340178,130095,0.816122569536575,0.814293071476647,0.818096571528255
2021-07-10,0.817889537910481,137332,0.818016704584683,0.816242628559032,0.81997135245898
2021-07-17,0.822422359398881,147209,0.822421100242949,0.820480049835982,0.824360945255263
2021-07-24,0.825193806549065,162450,0.825222240983693,0.823450365314826,0.827038072379432
2021-07-31,0.822922203461125,171533,0.824357597537111,0.823078766017867,0.825722521265315
2021-08-07,0.818479818460878,184702,0.822529300405785,0.821540790727937,0.823539362556715
2021-08-14,0.817774898343826,204953,0.821444859672959,0.820597077819514,0.822333511910207
2021-08-21,0.820026702609699,204314,0.821446006219226,0.820583142672915,0.822504103054935
2021-08-28,0.819301297999645,205959,0.821222579259147,0.820423513071678,0.822180380783735
2021-09-04,0.822206749844021,199237,0.822382838443364,0.821165195648904,0.82394813648576
2021-09-11,0.825550304523951,193132,0.825549316414557,0.823882717163296,0.827238537033552
2021-09-18,0.820281017674572,184874,0.823293186656672,0.822239448178698,0.824451116638653
2021-09-25,0.82396745156047,164983,0.824280014215141,0.82300042721031,0.825920563281254
2021-10-02,0.820924993098737,154751,0.823489313630876,0.822525115886139,0.824615916821648
2021-10-09,0.817885468469703,137659,0.822679881309142,0.821901233070272,0.82357750832459
2021-10-16,0.818897275795772,115977,0.822508611882865,0.821731122384017,0.823515209210829
2021-10-23,0.822286644840731,118569,0.823161250178307,0.822089429408039,0.824839553822126
2021-10-30,0.819159975299099,146301,0.822512991217038,0.821740625837428,0.82350021232013
2021-11-06,0.82175729591217,139317,0.822905646125451,0.821973983575118,0.824318460423735
2021-11-13,0.823280386272388,138302,0.823777239035089,0.822515573970563,0.825486129438455
2021-11-20,0.828942774234141,131339,0.828932417398652,0.82690397779855,0.830962177799681
2021-11-27,0.831471289913203,127844,0.831525751420864,0.829636714553824,0.833528320572771
2021-12-04,0.834764724682803,116483,0.834777591443334,0.832733630668221,0.836883464634969
