"ymd","point.est","CI.L","CI.U"
2021-01-09,0.658247090598233,0.0301775775465328,2.21356154205547
2021-01-16,0.429552255985124,0.014110978060889,1.91219557776874
2021-01-23,0.296475314986411,0.0140207216181158,1.63650266588439
2021-01-30,0.0943122396220282,0.00491658591023366,0.907187728688373
2021-02-06,0.044593764662855,0.00225695270029657,0.521382609914371
2021-02-13,0.0132372512761599,0.000698630202690384,0.176411124224783
2021-02-20,0.00801430551117674,0.000586621868538445,0.086305682768136
2021-02-27,0.0024910831093983,0.000319406914257362,0.0278892585765608
2021-03-06,0.00243060421508854,0.00032583422131816,0.0227867902552403
2021-03-13,0.00257454323263525,0.000589818474585572,0.0168874131290381
2021-03-20,0.00246392849159218,0.000601515338406017,0.0141981360381225
2021-03-27,0.00176603938535367,0.000479772990875807,0.0093798345712461
2021-04-03,0.00194692828118677,0.000532232531665939,0.00888936058585609
2021-04-10,0.0019362183119406,0.000530244377440059,0.00899703283998691
2021-04-17,0.00252359958785451,0.000732594708081627,0.00986563252816429
2021-04-24,0.00239580908278271,0.000707015990570238,0.00886335694174899
2021-05-01,0.00230085956012533,0.00069540337811852,0.0081932756933781
2021-05-08,0.00266280217646197,0.000969960453894164,0.0078772112300154
2021-05-15,0.00251255303018097,0.000932503330387862,0.00726791493343155
2021-05-22,0.00262662528599829,0.00112162974462199,0.0066557967578666
2021-05-29,0.00254255485715748,0.00108457628469719,0.00643633222161099
2021-06-05,0.00237151983728785,0.00110300395996859,0.00551308396994428
2021-06-12,0.00245401142486813,0.00114692678558493,0.00569425282318307
2021-06-19,0.00220014336037697,0.00104400483144205,0.00499506392317579
2021-06-26,0.00209252656055615,0.00102595839291156,0.00455384412298598
2021-07-03,0.00202758422993388,0.00101565069715462,0.00430308340900682
2021-07-10,0.00198216597827956,0.000996635574437384,0.00419575416114273
2021-07-17,0.00184867187204711,0.000958908372522994,0.00376560777825565
2021-07-24,0.00181452326384082,0.000946730589123486,0.00368257180939433
2021-07-31,0.00169511071385856,0.000904715551883382,0.00334160565860867
2021-08-07,0.00177764309097653,0.000954074168125929,0.00348212515046101
2021-08-14,0.00162417780105823,0.000896932714929958,0.00307971681127817
2021-08-21,0.00160580311125164,0.000882963491401252,0.00304383847474125
2021-08-28,0.00153093925527578,0.00085542015034393,0.00284195251116821
2021-09-04,0.00151091396872006,0.000843473621011167,0.00282022448216107
2021-09-11,0.0013952074981546,0.000791800643128535,0.00253688604950898
2021-09-18,0.00148179076937853,0.000846543908755295,0.00268672717024918
2021-09-25,0.00164954163411462,0.000956962652569249,0.00294161128170943
2021-10-02,0.00167598166317268,0.000972947445229823,0.00296776191108112
2021-10-09,0.00155541442789176,0.000928354444138796,0.00268750509255272
2021-10-16,0.00155560364404967,0.000933342966276145,0.00267650328333267
2021-10-23,0.00155396712229118,0.000939842945013475,0.00265108633782982
2021-10-30,0.00158209083392785,0.000957961203353021,0.00269360177236105
2021-11-06,0.00140862686178049,0.000863110116385093,0.00236408123053983
2021-11-13,0.00139358167446096,0.000854053456380286,0.00233682664830183
2021-11-20,0.00138175709949208,0.00085125515674743,0.00230764223690367
2021-11-27,0.00137050349559769,0.000841657728405751,0.00229233016481654
2021-12-04,0.00136119532845114,0.000839186122397676,0.0022669157786453
