"data","model","RMSE"
"const","const",2.13512413189717
"const","linear",2.56823624243793
"const","walk",2.04450687221588
"linear","const",5.71102526952836
"linear","linear",2.73533362270123
"linear","walk",2.9046206662985
"walk","const",5.53510212668408
"walk","linear",3.75039499002086
"walk","walk",2.90902084361845
"const","unbiased",3.36810598047403
"linear","unbiased",3.54258845863178
"walk","unbiased",3.66984706168015
