"ymd","point.est","CI.L","CI.U"
2021-01-09,0.70043907220321,0.0358159419114024,2.23372123110528
2021-01-16,0.591359512076702,0.0327072276031244,2.07557428362316
2021-01-23,0.589178501770774,0.10734996249559,1.9512236501958
2021-01-30,0.455617352859545,0.0929741396404124,1.70024314851825
2021-02-06,0.326300707562205,0.0734585527343254,1.40568343196875
2021-02-13,0.227676502384272,0.0582994190596791,1.08878867079269
2021-02-20,0.165519430528478,0.0484520574206584,0.797221547290774
2021-02-27,0.125339611225516,0.0418470176162616,0.562002953450851
2021-03-06,0.108691535638525,0.0395254815766868,0.439759834026993
2021-03-13,0.102692548345083,0.0398055205170453,0.373592368166971
2021-03-20,0.0966990420227813,0.0398157755570445,0.318808438515443
2021-03-27,0.0925925250408647,0.0401397436573847,0.283636905818351
2021-04-03,0.0874764595583986,0.0394785542943221,0.249943003349641
2021-04-10,0.0846091217869905,0.039494340703051,0.229083341465596
2021-04-17,0.0786955881220285,0.0378204616133114,0.203284982998663
2021-04-24,0.0763310189020978,0.0376004299115934,0.188796427354874
2021-05-01,0.0713200095130599,0.0359786512411886,0.169909179527638
2021-05-08,0.0653739844575942,0.0337143628179834,0.15059287770259
2021-05-15,0.061478099294885,0.0323564967222665,0.137522933571552
2021-05-22,0.0567402472903684,0.0303571416771455,0.123373279758905
2021-05-29,0.0536306474330293,0.0291853309591506,0.113828217741628
2021-06-05,0.050084782627262,0.0276638898994781,0.103608667843476
2021-06-12,0.0475362970118038,0.0266139076622794,0.0964783105549446
2021-06-19,0.0451337628123002,0.0256076168474797,0.0899740176172396
2021-06-26,0.0428279227798488,0.0245754537317702,0.0839997968686246
2021-07-03,0.0409389030151809,0.0237779979189228,0.0786322490258365
2021-07-10,0.0392426329113145,0.0230077302378603,0.0743274859053832
2021-07-17,0.0373240707928098,0.0221482294675906,0.0696286109555826
2021-07-24,0.0359262906579054,0.0215164159143614,0.0662286273870595
2021-07-31,0.0344357899172693,0.0207928715816784,0.0626667107381441
2021-08-07,0.0331337338666986,0.0201761989288822,0.0595599119006665
2021-08-14,0.0318492576713207,0.01954935242552,0.0565461347631272
2021-08-21,0.0308188503690943,0.0190676192949319,0.0542167283818799
2021-08-28,0.0297140559729865,0.0184926027042199,0.05175711605167
2021-09-04,0.028831141741722,0.0180697277200696,0.0497150850632087
2021-09-11,0.0279244415470244,0.0176240681548555,0.0477264760412847
2021-09-18,0.0270974378632882,0.0172324516901726,0.0459954876927204
2021-09-25,0.0263455584921094,0.0168391213165117,0.044342040406174
2021-10-02,0.025630853019704,0.016456968320696,0.0428287169899229
2021-10-09,0.0248233955794849,0.0160583321496186,0.0410868609177911
2021-10-16,0.0241396513356064,0.0156947115020665,0.0396840667179121
2021-10-23,0.0236025506670927,0.0154098379160156,0.0385188520719579
2021-10-30,0.0229952503924281,0.0150811587861057,0.0372924416117822
2021-11-06,0.0223291640250636,0.0147398014801487,0.0359812384344704
2021-11-13,0.0218020068324191,0.0144580871881359,0.0349559023250359
2021-11-20,0.0213603254903116,0.0142066198905203,0.0340063735175936
2021-11-27,0.0208918339554472,0.0139369691156936,0.0330732305452868
2021-12-04,0.0204553403739613,0.0137216451895737,0.0321980186678668
