"data","model","RMSE"
"const","const",2.60381028862096
"const","linear",2.95361195762371
"const","walk",2.78467914560986
"linear","const",4.24679872118032
"linear","linear",2.77199353345348
"linear","walk",2.91712717611749
"walk","const",4.30986724476294
"walk","linear",3.50657054432907
"walk","walk",3.22630832506374
"const","unbiased",3.65162900134936
"linear","unbiased",3.52368344645062
"walk","unbiased",3.6325298082167
