"data","model","RMSE"
"const","const",1.32319529806267
"const","linear",2.00535826062789
"const","walk",1.43390442317108
"linear","const",7.59676189324703
"linear","linear",2.08469310591778
"linear","walk",2.64918913670185
"walk","const",7.03961539593133
"walk","linear",4.5803653327269
"walk","walk",2.74830549170625
"const","unbiased",3.43206295938156
"linear","unbiased",3.41911265330951
"walk","unbiased",3.38936159618527
