"data","model","RMSE"
"const","const",2.44284869445525
"const","linear",2.7371984914557
"const","walk",2.5387013807224
"linear","const",3.65766276577572
"linear","linear",2.85446280990516
"linear","walk",2.99776244538089
"walk","const",4.52026304153694
"walk","linear",3.37939776505772
"walk","walk",3.15677828892615
"const","unbiased",3.71924312352808
"linear","unbiased",3.81393837304583
"walk","unbiased",3.86051706620508
