"const var","const bias","const 95 contain","linear var","linear bias","linear 95 contain","walk var","walk bias","walk 95 contain"
0.000381925269525157,-0.0269021563738677,1,0.0007986937333161,-0.00193253877462768,1,0.00164198269965145,-0.0486485075377293,1
3.15017807156403e-07,-0.000433976293890597,1,0.000840173008151084,0.00831919474839937,1,0.000548056755670682,-0.0487681334959866,1
0.000249230437838628,-0.00765796434554133,1,0.000866487040996857,0.00919748025508882,1,0.000568557159606996,-0.0121122072306901,1
0.000318419276392133,0.0279140269447945,1,0.000865818345310325,-0.0194747763630959,1,0.000429573645380726,0.00376441303884689,1
0.000222853907862569,0.0322632108662181,0,0.000399018956418803,0.0328271064558556,1,0.00103314808304691,0.00871919625262141,1
0.000335478958121251,0.0314006736740319,1,2.13017334289139e-06,-0.00153636049688001,1,0.000218201503645601,0.027583111810363,1
0.000301742536693389,0.0503631960283816,0,0.00116302309835059,0.0349562232607106,1,0.000468459566227068,0.00986528213588744,1
0.000311576500268587,0.0247954575618882,1,0.000869685303213566,0.0271494183824336,1,0.00136537272613562,0.0175239096398363,1
0.000215123726805125,-0.0271524120956024,1,0.000822450260101512,0.0233354643800172,1,0.000837766783837858,0.0488096547502656,1
2.17663580729724e-06,-0.00163213326688014,1,0.000792403352193077,0.0526474368781071,1,0.00082776049756166,0.0363547926351432,1
0.000425554684089646,-0.0119577819049521,1,0.000409420992253382,-0.0313712055203315,1,0.00166907623331461,0.0173163238968693,1
8.61997318679428e-05,-0.0126584976937635,1,0.000642613481649578,-0.0195000872996796,1,0.000295391526692137,0.0013097586614422,1
0.000335151670270736,-0.0153135246069424,1,0.00070209814068598,0.032994055258267,1,8.88132560978436e-05,0.00145380466581722,1
1.03900148066049e-05,-0.000923656490767578,1,0.000371987705778303,-0.0436129209958381,0,0.00148719815901595,0.00540892459454012,1
0.000397908697703219,-0.0291738481617994,1,0.000161635593483651,-0.0440925724369456,0,7.97258478805701e-05,0.00339119187356651,1
0.000286255525566783,0.0265386624250988,1,0.000832619409792467,-0.0398956264845862,1,0.00116684386481175,-0.0434807870269238,1
1.6073848606543e-06,0.000145920060080467,1,2.06762390059137e-05,0.00632348185823317,0,0.00046105342036608,0.000670146535741198,1
