"ymd","point.est","CI.L","CI.U"
2021-01-09,0.0304750391443743,0.0214697246360137,0.0420088650903403
2021-01-16,0.0443634788586666,0.025981334165615,0.0971376552760277
2021-01-23,0.0877552552293379,0.0723650797126604,0.105206279289709
2021-01-30,0.125517035222908,0.107531775860253,0.146247054840044
2021-02-06,0.149522502047772,0.131808946189353,0.170187960726086
2021-02-13,0.180090617153138,0.151164691906839,0.23101342433204
2021-02-20,0.196277912122691,0.175426678413048,0.21693149133741
2021-02-27,0.226378226196139,0.209399547046285,0.24408428813223
2021-03-06,0.259173051730014,0.237684150263544,0.278016489649367
2021-03-13,0.311847987170485,0.281542067086012,0.338827729114759
2021-03-20,0.364920795656998,0.340546186424889,0.387625728479512
2021-03-27,0.429913099884877,0.397461659232984,0.457486039579679
2021-04-03,0.479492547940282,0.452597745528748,0.502998952233486
2021-04-10,0.539331769035998,0.498830479301237,0.570690960496854
2021-04-17,0.571201496769339,0.543327201435692,0.596260964305118
2021-04-24,0.62479549944761,0.589335665038264,0.652452704069601
2021-05-01,0.648186766017827,0.607981904272457,0.681200524558586
2021-05-08,0.65263256716708,0.628045959124619,0.675262429976948
2021-05-15,0.668050219992659,0.639639213344325,0.696653157400516
2021-05-22,0.66504010573387,0.644299545926067,0.685422311502449
2021-05-29,0.676690638773163,0.652243345815244,0.702979501922109
2021-06-05,0.674731563249762,0.655973142623412,0.693396916448872
2021-06-12,0.681593845343616,0.66106944682206,0.704406391442851
2021-06-19,0.687755443161825,0.666306512470334,0.711169272355116
2021-06-26,0.689956956178634,0.671839608611052,0.708651603014476
2021-07-03,0.69964661676538,0.67937237882703,0.721185474420398
2021-07-10,0.707882625992348,0.685606453805667,0.733025449951419
2021-07-17,0.704793241928708,0.687209737146655,0.722980405458738
2021-07-24,0.712861930172862,0.69312006881819,0.735476409651298
2021-07-31,0.710128045370311,0.694173251832785,0.726575317637395
2021-08-07,0.715272566838685,0.698169062075548,0.734853499223274
2021-08-14,0.713386339941539,0.698619322968283,0.728677958718827
2021-08-21,0.720950348357464,0.703923761746316,0.740651013193544
2021-08-28,0.721614962847981,0.707242156993287,0.736883251420292
2021-09-04,0.729333636092008,0.712795489173862,0.748812919433399
2021-09-11,0.733539065984804,0.719109942733006,0.748938824194034
2021-09-18,0.737902878108399,0.722016187262848,0.755749253554472
2021-09-25,0.746571282887365,0.732049984168747,0.762172421092497
2021-10-02,0.751466075472639,0.735337630067442,0.769852186539396
2021-10-09,0.748689008574558,0.735005871267845,0.763139476845759
2021-10-16,0.754757214096742,0.73898960067117,0.772783246602075
2021-10-23,0.764523788817595,0.749208414794758,0.780982000415257
2021-10-30,0.768857339357151,0.752527566331492,0.787295182330079
2021-11-06,0.76038181133251,0.746981547058442,0.774460739326512
2021-11-13,0.765985668629066,0.75085133923733,0.783215308602283
2021-11-20,0.774311827704023,0.756855590314146,0.79383753043158
2021-11-27,0.780299534155041,0.76144984502023,0.802078256558412
2021-12-04,0.787190580007601,0.766899117948815,0.810503621660298
