"data","model","RMSE"
"const","const",2.43550857014675
"const","linear",2.79660778378676
"const","walk",2.55436961737319
"linear","const",3.55795402190051
"linear","linear",2.90094666901048
"linear","walk",2.94234039436814
"walk","const",4.36398938504487
"walk","linear",3.40838052319706
"walk","walk",3.13884328380445
"const","unbiased",3.87208812600838
"linear","unbiased",3.77279493439186
"walk","unbiased",3.85123169746068
