ymd,vax,vax_lb,vax_ub
2021-01-01,0.021833888618953055,0.021397210846573995,0.022270566391332115
2021-01-02,0.02282279331214902,0.022366337445906038,0.023279249178392
2021-01-03,0.023330268710679322,0.022863663336465737,0.023796874084892908
2021-01-04,0.025654790424864952,0.025141694616367654,0.02616788623336225
2021-01-05,0.02849558889947579,0.027925677121486275,0.029065500677465307
2021-01-06,0.031736096740017185,0.031101374805216842,0.03237081867481753
2021-01-07,0.03511970000402179,0.03441730600394135,0.035822094004102224
2021-01-08,0.038430285940954184,0.0376616802221351,0.03919889165977327
2021-01-09,0.03987761894661642,0.03908006656768409,0.04067517132554875
2021-01-10,0.04056478067457695,0.03975348506108541,0.04137607628806849
2021-01-11,0.043398137433164036,0.04253017468450075,0.04426610018182732
2021-01-12,0.04697730398346266,0.0460377579037934,0.04791685006313191
2021-01-13,0.05100250023453343,0.04998245022984276,0.05202255023922409
2021-01-14,0.05551767633953958,0.054407322812748786,0.05662802986633037
2021-01-15,0.05991849125694638,0.05872012143180745,0.061116861082085305
2021-01-16,0.06215955324782204,0.0609163621828656,0.06340274431277848
2021-01-17,0.0631652645947721,0.06190195930287666,0.06442856988666755
2021-01-18,0.06566528334447518,0.06435197767758567,0.06697858901136468
2021-01-19,0.0694701315459911,0.06808072891507128,0.07085953417691093
2021-01-20,0.07407816392424285,0.072596600645758,0.0755597272027277
2021-01-21,0.07936140757841678,0.07777417942684844,0.08094863572998512
2021-01-22,0.08480996797388247,0.08311376861440482,0.08650616733336013
2021-01-23,0.08773154577670943,0.08597691486117524,0.08948617669224361
2021-01-24,0.08891275039298034,0.08713449538512073,0.09069100540083995
2021-01-25,0.09227678433809589,0.09043124865133396,0.0941223200248578
2021-01-26,0.0963956053523612,0.09446769324531398,0.09832351745940843
2021-01-27,0.10129043870337567,0.09926462992930817,0.10331624747744318
2021-01-28,0.10666922594241794,0.10453584142356959,0.1088026104612663
2021-01-29,0.11203938918574244,0.10979860140202759,0.11428017696945729
2021-01-30,0.11501988503938773,0.11271948733859997,0.11732028274017549
2021-01-31,0.1162971161441499,0.11397117382126691,0.1186230584670329
2021-02-01,0.1192893668820032,0.11690357954436313,0.12167515421964327
2021-02-02,0.1230544848010976,0.12059339510507565,0.12551557449711956
2021-02-03,0.12799195679432393,0.12543211765843745,0.1305517959302104
2021-02-04,0.13342680955168743,0.13075827336065368,0.13609534574272117
2021-02-05,0.1387653230481437,0.13599001658718082,0.1415406295091066
2021-02-06,0.14209867836616855,0.13925670479884517,0.14494065193349193
2021-02-07,0.1431918975070332,0.14032805955689254,0.14605573545717387
2021-02-08,0.14646387765920035,0.14353460010601635,0.14939315521238436
2021-02-09,0.15052874850449938,0.14751817353440938,0.15353932347458937
2021-02-10,0.15532350023209587,0.15221703022745395,0.1584299702367378
2021-02-11,0.1602996591096032,0.15709366592741114,0.16350565229179526
2021-02-12,0.16570391686530758,0.16238983852800143,0.16901799520261374
2021-02-13,0.16909998445732694,0.1657179847681804,0.17248198414647348
2021-02-14,0.17046333643947403,0.16705406971068454,0.17387260316826353
2021-02-15,0.17287085221976442,0.16941343517536914,0.1763282692641597
2021-02-16,0.17599388782378422,0.17247401006730853,0.17951376558025992
2021-02-17,0.17962821490360956,0.17603565060553736,0.18322077920168175
2021-02-18,0.18288670842593496,0.17922897425741627,0.18654444259445366
2021-02-19,0.1861383717034438,0.18241560426937492,0.18986113913751268
2021-02-20,0.18850340635946403,0.18473333823227475,0.1922734744866533
2021-02-21,0.1895174598990629,0.18572711070108164,0.19330780909704418
2021-02-22,0.19197569600520567,0.18813618208510155,0.1958152099253098
2021-02-23,0.19544087387074516,0.19153205639333026,0.19934969134816005
2021-02-24,0.20037167228020494,0.19636423883460083,0.20437910572580906
2021-02-25,0.20643301290546792,0.20230435264735855,0.2105616731635773
2021-02-26,0.21301753067601342,0.20875718006249316,0.21727788128953368
2021-02-27,0.2175051432361132,0.21315504037139094,0.22185524610083546
2021-02-28,0.21961785828103436,0.21522550111541366,0.22401021544665506
2021-03-01,0.22427103152203548,0.21978561089159476,0.2287564521524762
2021-03-02,0.2300173177822785,0.22541697142663292,0.23461766413792406
2021-03-03,0.23683915419477453,0.23210237111087903,0.24157593727867002
2021-03-04,0.24451421343691299,0.2396239291681747,0.24940449770565126
2021-03-05,0.25236577328083126,0.24731845781521464,0.2574130887464479
2021-03-06,0.25763888480604114,0.2524861071099203,0.26279166250216196
2021-03-07,0.2602951950215556,0.2550892911211245,0.26550109892198676
2021-03-08,0.26609498039705237,0.2607730807891113,0.2714168800049934
2021-03-09,0.27316911382330844,0.26770573154684224,0.27863249609977464
2021-03-10,0.2812425478642347,0.27561769690695,0.2868673988215194
2021-03-11,0.2901677709996758,0.2843644155796823,0.2959711264196693
2021-03-12,0.29845356995840067,0.29248449855923264,0.3044226413575687
2021-03-13,0.3038815094962438,0.29780387930631896,0.30995913968616867
2021-03-14,0.30640904832088844,0.3002808673544707,0.3125372292873062
2021-03-15,0.312254067136135,0.3060089857934123,0.31849914847885774
2021-03-16,0.3197786761006583,0.3133831025786451,0.3261742496226715
2021-03-17,0.3280764244911278,0.32151489600130523,0.33463795298095034
2021-03-18,0.3370479763261703,0.33030701679964686,0.3437889358526937
2021-03-19,0.34569078570622774,0.33877696999210316,0.3526046014203523
2021-03-20,0.3511936722961775,0.34416979885025395,0.358217545742101
2021-03-21,0.3538579379951553,0.3467807792352522,0.3609350967550584
2021-03-22,0.3601133968230092,0.352911128886549,0.36731566475946936
