"dgm","model","bias.total","mse.total","its","mcse.bias","mcse.mse"
"constant","const",0.000107454773462564,0.000249038003530107,10000,0.000157813612257619,4.31563071316111e-06
"constant","linear",0.000242288813074731,0.00060148015287251,10000,0.000245251217563397,9.78894191463919e-06
"constant","unbiased",0.000317110497038222,0.00129451335605126,10000,0.000359797477924602,2.22337654385314e-05
"constant","walk",8.90891949902145e-05,0.000295916722713945,10000,0.000172028596363293,5.18762701659526e-06
"linear","const",0.0293333739978426,0.00408859952040349,10000,0.000568196756226219,6.88746706739734e-05
"linear","linear",0.000339108033711859,0.000626466863860771,10000,0.000250282742324226,1.0456419371713e-05
"linear","unbiased",-0.000183590095683678,0.00132615315473612,10000,0.000364177439529187,2.28069512714557e-05
"linear","walk",0.00903118571859871,0.000885029263370576,10000,0.000283469099306612,1.47206414693012e-05
"walk","const",-0.00215418745599635,0.00353678126792,10000,0.000594347877402099,7.36982452192257e-05
"walk","linear",0.000252852524930448,0.00161271096346944,10000,0.000401597847342471,3.0995185624764e-05
"walk","unbiased",-0.000241473726148596,0.0013760929143283,10000,0.000370967953061997,2.2869884487729e-05
"walk","walk",-0.000348534669377236,0.000891108645265993,10000,0.000298509007649331,1.53615840287924e-05
