"dgm","model","est","posrate","bias"
"constant","const",0.0196646768556817,0.0152234573280027,0.00444121952767898
"constant","linear",0.016100455865679,0.0152234573280027,0.000876998537676265
"constant","walk",0.0192272296629441,0.0152234573280027,0.00400377233494139
"constant","unbiased",0.0184466668962914,0.0152234573280027,0.00322320956828863
"linear","const",0.398186684476912,0.426974870040268,-0.0287881855633565
"linear","linear",0.472751150970999,0.426974870040268,0.0457762809307307
"linear","walk",0.442453017739559,0.426974870040268,0.0154781476992907
"linear","unbiased",0.467174780634597,0.426974870040268,0.0401999105943291
"walk","const",0.261999103138732,0.430281711544683,-0.168282608405952
"walk","linear",0.352720692591878,0.430281711544683,-0.0775610189528057
"walk","walk",0.38275740035807,0.430281711544683,-0.0475243111866133
"walk","unbiased",0.389578824094224,0.430281711544683,-0.0407028874504592
"constant","const",0.893354188420877,0.893878413496858,-0.000524225075980489
"constant","linear",0.886197587829755,0.893878413496858,-0.00768082566710326
"constant","walk",0.891588945857455,0.893878413496858,-0.00228946763940274
"constant","unbiased",0.834898627640911,0.893878413496858,-0.0589797858559464
"linear","const",0.920182145214981,0.907701195486667,0.0124809497283147
"linear","linear",0.877035061319863,0.907701195486667,-0.0306661341668033
"linear","walk",0.883784967287022,0.907701195486667,-0.0239162281996441
"linear","unbiased",0.853863619628907,0.907701195486667,-0.0538375758577596
"walk","const",0.0760175272973288,0.104462095726251,-0.0284445684289224
"walk","linear",0.0543920409574293,0.104462095726251,-0.0500700547688219
"walk","walk",0.0752813171268684,0.104462095726251,-0.0291807785993829
"walk","unbiased",0.0737806708554408,0.104462095726251,-0.0306814248708105
"constant","const",0.616284092633742,0.636969275488742,-0.0206851828549999
"constant","linear",0.601391350285116,0.636969275488742,-0.0355779252036261
"constant","walk",0.609718090588747,0.636969275488742,-0.0272511848999948
"constant","unbiased",0.592406467233842,0.636969275488742,-0.0445628082548999
"linear","const",0.191531430597311,0.09628095823641,0.0952504723609007
"linear","linear",0.102682899314474,0.09628095823641,0.00640194107806423
"linear","walk",0.121543990641606,0.09628095823641,0.0252630324051959
"linear","unbiased",0.0945935194554538,0.09628095823641,-0.00168743878095629
"walk","const",0.439219328534765,0.536350963251848,-0.0971316347170826
"walk","linear",0.454313711562262,0.536350963251848,-0.0820372516895862
"walk","walk",0.568241971021812,0.536350963251848,0.0318910077699641
"walk","unbiased",0.60041365137173,0.536350963251848,0.064062688119882
"constant","const",0.389632834273131,0.375934237604904,0.0136985966682266
"constant","linear",0.360136873970069,0.375934237604904,-0.0157973636348349
"constant","walk",0.386078364122937,0.375934237604904,0.0101441265180329
"constant","unbiased",0.38471753650966,0.375934237604904,0.00878329890475604
"linear","const",0.912579337743656,0.829353471675743,0.0832258660679124
"linear","linear",0.828122864189882,0.829353471675743,-0.00123060748586146
"linear","walk",0.827353420824642,0.829353471675743,-0.00200005085110133
"linear","unbiased",0.78375429334849,0.829353471675743,-0.0455991783272531
"walk","const",0.350621845449393,0.42328431650295,-0.0726624710535573
"walk","linear",0.402942854358435,0.42328431650295,-0.020341462144515
"walk","walk",0.402775687940459,0.42328431650295,-0.0205086285624906
"walk","unbiased",0.401066290827462,0.42328431650295,-0.0222180256754883
"constant","const",0.843536227639822,0.840092689233723,0.00344353840609857
"constant","linear",0.848294748488804,0.840092689233723,0.00820205925508077
"constant","walk",0.848152872850121,0.840092689233723,0.00806018361639749
"constant","unbiased",0.861535693608424,0.840092689233723,0.0214430043747008
"linear","const",0.543027893767393,0.546751503660381,-0.00372360989298837
"linear","linear",0.545377756548113,0.546751503660381,-0.00137374711226834
"linear","walk",0.532729368699101,0.546751503660381,-0.0140221349612801
"linear","unbiased",0.54130639122309,0.546751503660381,-0.00544511243729096
"walk","const",0.89584448165446,0.801764899442879,0.0940795822115814
"walk","linear",0.852981843833819,0.801764899442879,0.05121694439094
"walk","walk",0.820358654414123,0.801764899442879,0.0185937549712447
"walk","unbiased",0.771601465970609,0.801764899442879,-0.0301634334722691
"constant","const",0.696468065582901,0.686296454582828,0.0101716110000732
"constant","linear",0.712759754513577,0.686296454582828,0.0264632999307496
"constant","walk",0.701038886952701,0.686296454582828,0.0147424323698736
"constant","unbiased",0.709351399437853,0.686296454582828,0.0230549448550251
"linear","const",0.826063827963576,0.826515681352106,-0.000451853388529821
"linear","linear",0.820415217028477,0.826515681352106,-0.0061004643236291
"linear","walk",0.817907826675164,0.826515681352106,-0.00860785467694192
"linear","unbiased",0.75270598184585,0.826515681352106,-0.0738096995062558
"walk","const",0.747879913376221,0.729165707165974,0.0187142062102468
"walk","linear",0.735242318620439,0.729165707165974,0.00607661145446492
