"data","model","MSE","MCSE"
"const","const",0.0420024619417029,0.00152928831269165
"const","linear",0.0603550522582711,0.00223755253175531
"const","walk",0.051067434596636,0.00197100278805409
"linear","const",0.11289075176266,0.00420412944073253
"linear","linear",0.0708009298826342,0.00257132624325235
"linear","walk",0.0772113251158053,0.00280252027790113
"walk","const",0.211516295555111,0.00942050784949484
"walk","linear",0.117088496983557,0.00450641314521107
"walk","walk",0.0925926036247761,0.00333675652720365
"const","unbiased",0.150448005274643,0.00577093641322539
"linear","unbiased",0.140814227744069,0.00488071862369453
"walk","unbiased",0.146638517727247,0.00521253819394124
