"","data","model","RMSE"
"const x const","const","const.1",3.99932601899606
"const x linear","const","linear.1",4.01161561130421
"const x walk","const","walk.1",4.0069329810502
"linear x const","linear","const.1",4.2408484839666
"linear x linear","linear","linear.1",4.24232541581392
"linear x walk","linear","walk.1",4.24992335753094
"walk x const","walk","const.1",4.12608562492999
"walk x linear","walk","linear.1",4.13599999724702
"walk x walk","walk","walk.1",4.14012429630997
