"data","model","MSE","MCSE"
"const","const",0.0174103117126331,0.000708509055403739
"const","linear",0.0379898446915953,0.00155523831446752
"const","walk",0.0198631846350669,0.000843309004652369
"linear","const",0.602430732806351,0.0235824276391766
"linear","linear",0.0396353258062423,0.00155549541998832
"linear","walk",0.0702779427541654,0.00264043485304151
"walk","const",0.474275331781007,0.0241814435664775
"walk","linear",0.205871547616157,0.00993946431518068
"walk","walk",0.0752120298501394,0.00316521539861383
"const","unbiased",0.115680609324315,0.00428583542837155
"linear","unbiased",0.116094051881999,0.00462208966500325
"walk","unbiased",0.11608672398385,0.00431927024897688
