"const x const","const x linear","const x walk","linear x const","linear x linear","linear x walk","walk x const","walk x linear","walk x walk"
0.017778992350007,0.00904672856330768,0.0122138956127059,-0.0763690356659744,-0.0237782898212986,0.00219442938318626,-0.00710800876562506,0.00380389694488348,0.0212238526268421
0.0564298813023293,0.0555624679059947,0.0551555567398299,0.0637820538338177,0.0483303009085055,0.0596829007638733,-0.0317821158630616,-0.00513906372599382,0.00374468915936854
-0.00649527894701718,-0.0217993158492594,-0.0189814950116038,0.0328486220041929,-0.00650365238111617,-0.00541259733207944,0.00203790662824532,-0.00288841783380178,0.00126289066392238
-0.0134664496428042,-0.025098744893828,-0.022981145689791,-0.03047016193786,-0.0120866872733056,-0.0134023013505735,0.015533530593474,-0.0280185714231092,-0.0229502723791526
-0.0145649522762728,-0.0225382089145031,-0.0187156844189871,-0.0359082590147307,-0.00180250014146285,-0.0013804619124953,0.103088520980316,0.0625951184041698,0.0316889025903203
0.00485117223021486,-0.0212145571096409,-0.00345365528801089,0.0325424548005348,0.00291049773185412,-6.6592978827662e-05,-0.00708197264705202,-0.00647507053233431,-0.00363735163151857
0.011086610438239,-0.00310251740996936,0.00387356242639292,0.0306129276275798,0.0246092000135389,0.0182434427893534,-0.0442390185761427,-0.0199831834602863,-0.00978663792518486
-0.0171857792000882,-0.0292909104756348,-0.0184616302640941,0.0253243252549858,0.00895676973758275,0.00205783705818263,-0.0353766994629675,-0.033737731892618,-0.0179591671390399
0.0173585220363531,0.0342111371759681,0.0275278240422263,0.0308982279716669,0.0173298683703622,0.0182988917199992,-0.0195037141296786,0.00517659710311591,0.00116527019710078
-0.0184185860106004,-0.00669803398505209,-0.0127939279602641,-0.0326480734664875,-0.032280160914235,-0.0334562670002447,0.00297489612486629,-0.00146453818386029,0.000909472439312206
0.0282721983986803,0.022964933973411,0.0217075965930887,-0.0252759949410073,-0.0222970683707719,-0.0244450459558065,0.018199403773653,0.00823817057520349,0.0140856658593548
-0.036836364032003,-0.0557010617085447,-0.0444327048850727,-0.00991638962752139,-0.00623620997463786,-0.0107414644218825,-0.0282089771736423,-0.0177736728575781,-0.0279541348216807
0.0141153973739487,-0.0129549460745401,-0.0124006074423333,0.0121268341274957,-0.000869528397188346,0.0010710115441751,0.0243421224649426,0.0163699524318061,0.011285294297518
-0.0181549038664869,-0.0263811578085818,-0.0297865687118101,0.0717982625173271,0.0321245182819399,0.0384322093758623,-0.00606417346240007,-0.00715081879312374,-0.00468073306987593
0.00224001985546235,-0.00256905353952314,0.00263956433093776,-0.0519055238027265,-0.0558792756247839,-0.0609934994571733,0.00854283650581367,-0.00706595203430171,-0.00341038800905125
0.00605468830039785,0.0106777909743503,0.00626311536822877,-0.0366387342560981,-0.0160514424807834,-0.00290017190167635,-0.00356142278967575,0.0101995389826367,-0.0304979620889251
0.00390655584008079,0.00789478493644118,0.00819549158307253,-0.000991952636365312,0.00288383529760372,-0.003784488432794,0.0670257315538846,0.0479331742753889,0.0326897735921688
0.00787448425641885,-0.0163049768368674,-0.0175335371899912,0.041231873666055,0.0333882643041769,0.0364799806855836,0.0287953719811119,0.0253434787856887,0.0290444310948144
0.000811466791835497,0.0234712980014094,0.0102235193002518,0.0368395739373163,-0.00768792871627855,-0.0105981854239184,-0.015395378183046,0.00167620766457982,0.00630725834995138
0.0171322253455043,0.0330480328735951,0.022981573790871,-0.0238199227006684,-0.016578188077009,-0.0201432281012536,-0.0351255239517871,-0.0230972447649613,-0.0222176735660864
-0.0107252106496689,-0.00800532857906551,-0.0074511804823572,0.00849786365592052,0.00535783103455187,0.00625016019577145,0.0799357842586648,0.0678275324168054,0.0592410543664967
0.0471341186507537,0.0603813764846209,0.0493176842958658,-0.124797663842563,-0.092764885652747,-0.0993882999779545,0.0615762044399005,0.0243069273637347,0.00220373802699703
0.0227720088328299,0.0272934268508649,0.022600400440116,0.0290994004377898,-0.0216503740435601,-0.0382073795304291,-0.0225186022058522,-0.0557434155718775,-0.0689131866896098
-0.000661235349318001,-0.00700462462599222,0.00371001779537977,-0.0196022980372118,-0.00711703787839196,-0.0163874375597882,-0.0272635550068073,-0.0342146367438608,-0.0241899280205139
-0.0114497802575486,0.00734530744901346,-0.00481706597247322,0.0052420405704996,0.0129812537097669,0.0163821800139876,0.0115812987398626,0.00950702929273495,0.0092357962177394
-0.0275555606972959,-0.0224677770968168,-0.0241302581537813,-0.0552412471523887,-0.0125705209581738,-0.014140197072996,-0.00716466307574248,0.0181527727776451,0.0249045049692225
-0.0335042464883465,-0.0442612835588437,-0.0418260579324457,-0.0296655730945947,-0.00712260113920532,-0.0183981247435297,-0.0847030225249524,-0.0487185166356091,-0.019326728487946
-0.00635890864365296,-0.00786973391515822,-0.00763353972216474,-0.0121595623442448,-0.0267951886864137,-0.0200447268814046,-0.00684749436504717,-0.00851264964352762,-0.0100515060218371
0.00741112226806939,0.0107136175029852,0.00870965139505853,0.00571328839947838,-0.023624552846802,-0.0289445035815965,-0.00120246275422231,-0.000865435668516379,-0.000652323230941554
0.00204813221158962,0.00385725461899533,0.00316113077692881,0.0239387190856788,0.0173549195987752,0.0189598397098722,0.0994972529055087,0.0631479307408302,0.0505817042579781
-0.000285288469859188,-0.000876014051451199,-0.00105948714932543,0.0157060593186137,0.0116564627231091,0.0144803174798142,-0.00574768281889793,-0.000817077849343373,0.015690841384121
-0.0164565477005605,-0.0130252549045715,-0.0141401410384245,-0.0292618296996681,-0.0156250316866865,-0.0202604931565321,0.034758779062629,0.0378473079785767,0.032183112650827
-0.00551300683133288,-0.0077583980019364,-0.0110156896463049,-0.0523376958161776,-0.0636578757052501,-0.066922968791943,-0.00494557937538243,0.00239673062517998,0.00103902833341663
0.0638001210490923,0.041882025719517,0.0515891792139692,0.0163727319997726,-0.0110247151633192,0.00353551904774507,-0.0204802005602969,-0.0246306006397887,-0.0256253101505116
0.0366085026998851,0.0171861042635911,0.0298478617052342,-0.00296772753239839,-0.00231524255272353,-0.0022201280797501,0.0259367628276965,0.0115019461456585,-0.00431213662716043
-0.0387216343626689,-0.0547278028825295,-0.0460406138612799,0.0484703708348297,0.0124089978928339,0.0184746632854714,0.038082523655918,0.0395704348243302,0.0372897111662114
-0.02341780032899,-0.0241650506983433,-0.0234307812601847,-0.038740628249467,0.00191502950175021,-0.00129612909053489,-0.0168044982001897,0.00232805469418462,-9.05577759496845e-05
-0.052203696713942,-0.0620258720909298,-0.0563506229015119,0.00448726627964779,0.00818916423382909,0.0075669501165615,-0.110525585611171,-0.112785210243928,-0.0318837564619353
-0.00166403937741777,-0.00469489190209671,-0.00155543554838478,0.0144020183818504,0.00363871597187404,0.00935027114680065,0.057778420776658,0.0519393750491992,0.0479834012909574
-0.0130772017451255,-0.0505021032719812,-0.0311588249793414,-0.00837680163030418,-0.0102589548834131,-0.00993007136087151,0.0451813024523369,0.0204137326989219,0.0306907599619383
0.0573202643048399,0.0318545013867186,0.0449184855306086,0.0292406889505683,0.0174347348745148,0.0162591188853695,0.011898423480258,0.00110149600665188,0.0167945983064046
-0.00693538666859614,-0.0053501734108575,-0.00647958299754678,0.0775733344700433,0.0496686297194386,0.0582501697443857,0.0138444101190487,-0.0122878302503048,-0.0161067128381143
-0.0386225903572845,-0.0496551790762597,-0.048995708364747,-0.022085078756458,-0.00839454546351276,-0.016799723030059,0.038433617971245,0.0307976373954432,0.0190216988057634
-0.0114726973194804,-0.0182020918186366,-0.00749794107171886,-0.0239087449244407,-0.027747622658775,-0.0319825130936669,-0.0884331237943621,-0.0646547935238446,-0.0502811941699012
-0.00871895787290122,-0.021299682402881,-0.0136206759225121,0.0409781491067885,0.00763887921535111,-0.00144007853028594,0.0516189014316016,0.0453631806846532,0.0451414693325332
