"dgm","model","bias.total","mse.total","its","mcse.bias","mcse.mse"
"constant","const",-5.18256688481669e-05,0.000436283648352282,10000,0.000208883842101734,7.13094438278373e-06
"constant","linear",-0.000123975353208564,0.00100879624098236,10000,0.000317628991005243,1.6290093156675e-05
"constant","unbiased",-0.000481455572932707,0.00148632775370441,10000,0.000385518427405691,2.34475535691204e-05
"constant","walk",-0.00022225156826964,0.000551978887563922,10000,0.000234943544340625,9.45386933992842e-06
"linear","const",0.0163064484420237,0.00145069597660157,10000,0.000344225828088177,2.34831500624364e-05
"linear","linear",0.000815082955357786,0.00101504074139434,10000,0.000318508685745478,1.58524146387785e-05
"linear","unbiased",0.000125194282749883,0.00147669973330581,10000,0.000384295686011652,2.32565664763265e-05
"linear","walk",0.00759702034711899,0.000907799773752825,10000,0.00029157676049465,1.44095348922701e-05
"walk","const",-0.00116903693649607,0.00200261014585725,10000,0.000447374970563022,3.87486979978115e-05
"walk","linear",5.68919489732406e-05,0.00132273999296095,10000,0.000363712667248669,2.2004778281849e-05
"walk","unbiased",-0.000360496096772039,0.00146850959884846,10000,0.000383213581969908,2.37473661750387e-05
"walk","walk",-0.000300857775077246,0.000979468769701719,10000,0.000312965845088739,1.64720704334327e-05
