"data","model","RMSE"
"const","const",3.05615493884779
"const","linear",3.2106063656994
"const","walk",3.27199548622519
"linear","const",3.07355866673017
"linear","linear",2.98977295717319
"linear","walk",3.0314171153965
"walk","const",3.82695397964801
"walk","linear",NA
"walk","walk",3.52227614876516
"const","unbiased",4.22122126569491
"linear","unbiased",3.81971713104126
"walk","unbiased",4.13910211910839
