"dgm","model","est","posrate","bias"
"constant","const",0.400233214585298,0.407982249799349,-0.00774903521405063
"constant","linear",0.412486249827282,0.407982249799349,0.00450400002793333
"constant","walk",0.400965424890134,0.407982249799349,-0.00701682490921524
"constant","unbiased",0.409410459039603,0.407982249799349,0.00142820924025383
"linear","const",0.959352081320263,0.904733498644525,0.0546185826757378
"linear","linear",0.9196581685457,0.904733498644525,0.0149246699011755
"linear","walk",0.936294198089696,0.904733498644525,0.0315606994451708
"linear","unbiased",0.912855195688599,0.904733498644525,0.00812169704407373
"walk","const",0.520081677651077,0.55575932968392,-0.0356776520328421
"walk","linear",0.491978306455311,0.55575932968392,-0.063781023228608
"walk","walk",0.513080151369868,0.55575932968392,-0.0426791783140517
"walk","unbiased",0.480298947384882,0.55575932968392,-0.0754603822990379
"constant","const",0.406474554000399,0.398413157059215,0.00806139694118352
"constant","linear",0.432711507285921,0.398413157059215,0.0342983502267056
"constant","walk",0.413698942805927,0.398413157059215,0.0152857857467117
"constant","unbiased",0.424597746675306,0.398413157059215,0.0261845896160913
"linear","const",0.580666902563884,0.532094991148522,0.0485719114153625
"linear","linear",0.508583431039197,0.532094991148522,-0.0235115601093251
"linear","walk",0.531423358697643,0.532094991148522,-0.0006716324508792
"linear","unbiased",0.466153484084735,0.532094991148522,-0.0659415070637871
"walk","const",0.715734031159107,0.730943088687705,-0.0152090575285972
"walk","linear",0.769122715163355,0.730943088687705,0.03817962647565
"walk","walk",0.739641501549294,0.730943088687705,0.00869841286158979
"walk","unbiased",0.729089165409235,0.730943088687705,-0.00185392327846978
"constant","const",0.0301831592506748,0.031723535149319,-0.00154037589864421
"constant","linear",0.0393128037214662,0.031723535149319,0.00758926857214723
"constant","walk",0.0323488936368857,0.031723535149319,0.000625358487566785
"constant","unbiased",0.0543493817584929,0.031723535149319,0.0226258466091739
"linear","const",0.754171605893741,0.809639282081331,-0.0554676761875892
"linear","linear",0.805518808294116,0.809639282081331,-0.00412047378721492
"linear","walk",0.799429054944541,0.809639282081331,-0.0102102271367893
"linear","unbiased",0.779181550348507,0.809639282081331,-0.0304577317328237
"walk","const",0.458425224148383,0.458254674935748,0.000170549212635041
"walk","linear",0.472812956893915,0.458254674935748,0.0145582819581679
"walk","walk",0.492054240711113,0.458254674935748,0.0337995657753656
"walk","unbiased",0.4963941549147,0.458254674935748,0.0381394799789522
"constant","const",0.842509052169618,0.860098052641424,-0.0175890004718061
"constant","linear",0.828976127328823,0.860098052641424,-0.0311219253126015
