"dgm","model","bias.total","mse.total","its","mcse.bias","mcse.mse"
"constant","const",2.47850001853892e-05,0.000188595910971473,10000,0.000137336869809621,3.35804778180067e-06
"constant","linear",-5.86179345366172e-05,0.000434606605346137,10000,0.000208481805908161,7.46606144508866e-06
"constant","unbiased",-0.000281119818769779,0.00119905857863128,10000,0.000346280155398024,2.1010992965667e-05
"constant","walk",-5.82374916980155e-05,0.000221758017898887,10000,0.000148921725740016,4.00120160455513e-06
"linear","const",0.0381987079899908,0.0076026376501531,10000,0.000783843783487846,0.00012393729194151
"linear","linear",0.000249108873731657,0.00046845033465338,10000,0.000216433620986829,8.05472347704809e-06
"linear","unbiased",-1.01670159165383e-05,0.00122137903881589,10000,0.000349499797647471,2.0882237978978e-05
"linear","walk",0.00815973288990263,0.000795274740075296,10000,0.000269956732807005,1.30406808269455e-05
"walk","const",-0.00170490950196759,0.00475473725565246,10000,0.000689369695433411,0.000103436240232965
"walk","linear",0.000567124364242944,0.00204368560142852,10000,0.000452058439608954,4.56230092022651e-05
"walk","unbiased",4.30655011786515e-05,0.00119955512115547,10000,0.000346362993670148,2.05552061371703e-05
"walk","walk",-0.000263728673306365,0.000770239063191189,10000,0.000277533157484213,1.43779375348751e-05
