"dgm","model","est","posrate","bias"
"linear","unbiased",0.252981900751704,0.288683170651128,-0.0357012698994246
"walk","const",0.667578034193768,0.682510339852693,-0.0149323056589248
"walk","linear",0.708929331128421,0.682510339852693,0.0264189912757284
"walk","walk",0.685310899606917,0.682510339852693,0.00280055975422444
"walk","unbiased",0.697439530124662,0.682510339852693,0.0149291902719686
"constant","const",0.367668053938309,0.341255403650135,0.0264126502881742
"constant","linear",0.384154013063151,0.341255403650135,0.0428986094130163
"constant","walk",0.370124130610995,0.341255403650135,0.0288687269608598
"constant","unbiased",0.36990155758012,0.341255403650135,0.0286461539299853
"linear","const",0.595923509447148,0.536866363628663,0.0590571458184854
"linear","linear",0.569395852471486,0.536866363628663,0.0325294888428227
"linear","walk",0.591657860253804,0.536866363628663,0.0547914966251413
"linear","unbiased",0.600789575049348,0.536866363628663,0.0639232114206847
"walk","const",0.341438118533623,0.307087286520098,0.0343508320135251
"walk","linear",0.330876032856642,0.307087286520098,0.0237887463365442
"walk","walk",0.343518650130104,0.307087286520098,0.0364313636100057
"walk","unbiased",0.34569637414861,0.307087286520098,0.0386090876285114
"constant","const",0.713202835606908,0.715317193539824,-0.00211435793291626
"constant","linear",0.705028582065122,0.715317193539824,-0.0102886114747022
"constant","walk",0.707654494661393,0.715317193539824,-0.00766269887843141
"constant","unbiased",0.666012853587635,0.715317193539824,-0.0493043399521896
"linear","const",0.122238122276041,0.084369919721188,0.0378682025548534
"linear","linear",0.113129353689823,0.084369919721188,0.0287594339686352
"linear","walk",0.112683257347473,0.084369919721188,0.0283133376262851
"linear","unbiased",0.116286277847943,0.084369919721188,0.031916358126755
"walk","const",0.830887128164059,0.881322508032967,-0.050435379868908
"walk","linear",0.869036430899637,0.881322508032967,-0.0122860771333299
"walk","walk",0.883325936461348,0.881322508032967,0.00200342842838108
"walk","unbiased",0.890810877564063,0.881322508032967,0.00948836953109555
"constant","const",0.154547285327985,0.157218426733059,-0.00267114140507402
"constant","linear",0.155040953692734,0.157218426733059,-0.00217747304032498
"constant","walk",0.158867335572201,0.157218426733059,0.00164890883914157
"constant","unbiased",0.181188357429607,0.157218426733059,0.023969930696548
"linear","const",0.213970827068214,0.194393357994869,0.0195774690733446
"linear","linear",0.188969161464351,0.194393357994869,-0.00542419653051848
"linear","walk",0.204744090778942,0.194393357994869,0.0103507327840728
"linear","unbiased",0.190986750727872,0.194393357994869,-0.00340660726699682
"walk","const",0.546681517044026,0.620407685798215,-0.0737261687541894
"walk","linear",0.616054739655107,0.620407685798215,-0.00435294614310799
"walk","walk",0.63792572988333,0.620407685798215,0.0175180440851146
"walk","unbiased",0.672004642673031,0.620407685798215,0.0515969568748156
"constant","const",0.533813227370774,0.565731311474212,-0.0319180841034384
"constant","linear",0.51420622726972,0.565731311474212,-0.0515250842044922
"constant","walk",0.524135354731241,0.565731311474212,-0.0415959567429715
